interview_id,run_idx,model_name,prompt_version,temperature,json_valid,latency_ms,ca,exp,ps,rel,prof,comm
intv_0007,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,973,5,6,9,8,6,8
intv_0008,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1169,9,8,8,6,7,9
intv_0008,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1066,6,7,8,6,7,8
intv_0008,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1086,4,6,8,5,6,8
intv_0009,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1039,8,8,8,8,8,8
intv_0009,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1022,8,7,7,7,7,8
intv_0009,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,967,8,7,7,7,6,6
intv_0010,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,886,9,8,8,6,5,9
intv_0010,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1120,9,7,7,8,6,7
intv_0010,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1021,5,6,8,9,6,4
intv_0011,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1149,2,8,4,9,4,9
intv_0011,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1015,8,7,7,9,6,8
intv_0011,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,957,9,9,8,9,8,8
intv_0012,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,886,9,8,8,8,8,8
intv_0012,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1096,9,9,8,8,8,9
intv_0012,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,830,9,8,9,6,6,8
intv_0013,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1117,5,9,6,8,9,8
intv_0013,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1022,9,9,8,8,8,8
intv_0013,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,931,8,7,7,7,6,6
intv_0014,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1094,9,8,8,9,9,9
intv_0014,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1011,8,7,8,7,6,7
intv_0014,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,983,9,8,8,9,8,9
intv_0015,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,864,8,9,8,9,8,8
intv_0015,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1079,9,8,8,9,8,8
intv_0015,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1085,9,8,8,9,9,9
intv_0016,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,877,8,7,8,8,8,9
intv_0016,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1062,9,8,8,9,8,8
intv_0016,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1018,9,8,8,9,8,9
intv_0017,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1115,9,6,8,8,9,7
intv_0017,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1069,4,3,6,9,8,8
intv_0017,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1069,4,8,6,9,8,9
intv_0018,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1028,5,6,8,9,7,8
intv_0018,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1018,6,8,9,8,4,8
intv_0018,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1088,8,7,9,8,6,8
intv_0019,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1022,4,6,8,9,5,8
intv_0019,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1102,9,8,8,9,8,9
intv_0019,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1799,9,8,9,8,7,8
intv_0020,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1090,5,6,8,9,9,8
intv_0020,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,948,9,8,9,8,9,9
intv_0020,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1022,6,5,5,9,9,8
intv_0021,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,971,8,6,8,9,8,9
intv_0021,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1082,2,7,9,8,9,9
intv_0021,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,943,9,6,8,9,8,9
intv_0022,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1009,9,7,6,9,5,8
intv_0022,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,941,9,8,8,8,8,8
intv_0022,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1078,8,7,7,7,6,6
intv_0023,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1086,9,8,8,9,8,8
intv_0023,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,979,4,8,9,8,9,8
intv_0023,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1029,8,7,7,7,6,6
intv_0024,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1020,6,8,9,9,9,9
intv_0024,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1078,9,8,8,6,8,6
intv_0024,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1094,6,7,8,6,5,6
intv_0025,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1047,9,8,9,8,9,8
intv_0025,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,853,5,8,8,9,9,8
intv_0025,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1031,6,8,8,5,5,5
intv_0026,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,901,8,6,8,6,6,6
intv_0026,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1054,9,8,7,8,7,8
intv_0026,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1038,8,7,7,7,6,8
intv_0027,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1000,6,6,6,8,7,8
intv_0027,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,993,9,8,8,9,8,9
intv_0027,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1118,8,7,7,7,6,8
intv_0028,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1077,9,8,8,9,9,9
intv_0028,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1077,8,6,6,8,7,8
intv_0028,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1049,9,8,8,6,8,8
intv_0029,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1117,8,7,6,7,6,5
intv_0029,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1203,9,8,8,9,8,9
intv_0029,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1062,8,7,7,8,5,5
intv_0030,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1129,8,7,9,8,8,9
intv_0030,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1036,9,8,9,8,9,9
intv_0030,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1084,9,8,8,9,8,9
intv_0031,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1045,9,7,9,9,5,8
intv_0031,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1023,4,6,5,8,5,8
intv_0031,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1022,8,8,8,9,8,9
intv_0032,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1043,6,6,7,8,6,6
intv_0032,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1024,9,8,8,9,8,9
intv_0032,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1006,8,8,9,8,8,8
intv_0033,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,986,8,7,6,7,5,8
intv_0033,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1042,8,7,7,7,6,6
intv_0033,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1035,8,9,9,8,9,8
intv_0034,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1045,9,8,8,8,8,9
intv_0034,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1101,9,8,6,9,7,8
intv_0034,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1017,6,7,6,8,8,6
intv_0035,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,910,9,8,8,6,7,8
intv_0035,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1089,9,8,8,9,8,8
intv_0035,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1039,8,8,8,9,8,8
intv_0036,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1139,6,7,6,8,7,8
intv_0036,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1074,9,9,8,8,6,9
intv_0036,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1023,9,8,8,9,8,9
intv_0037,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1032,5,6,8,9,9,8
intv_0037,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,949,9,8,8,8,8,9
intv_0037,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1076,6,7,8,8,7,8
intv_0038,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1103,9,8,8,9,9,9
intv_0038,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1029,9,8,8,9,8,9
intv_0038,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1120,6,8,9,8,7,8
intv_0039,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1058,8,5,8,9,8,7
intv_0039,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1026,3,6,8,6,5,8
intv_0039,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,942,4,3,5,6,4,5
intv_0040,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,872,6,7,9,8,4,9
intv_0040,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,992,5,8,8,8,8,8
intv_0040,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,837,9,9,8,9,9,9
intv_0041,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,958,5,5,6,6,4,4
intv_0041,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1010,7,6,5,6,5,8
intv_0041,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,882,9,6,8,6,6,8
intv_0042,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,964,8,7,7,7,6,6
intv_0042,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1089,8,7,6,8,9,8
intv_0042,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1011,8,7,7,6,7,8
intv_0043,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1087,4,6,6,8,6,8
intv_0043,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1030,8,7,7,7,6,6
intv_0043,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1096,9,8,8,8,9,9
intv_0044,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1080,5,6,8,9,9,6
intv_0044,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,879,6,8,9,7,5,8
intv_0044,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1015,5,8,9,8,7,9
intv_0045,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1026,9,8,9,6,7,8
intv_0045,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1122,7,7,8,8,6,7
intv_0045,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1029,9,8,9,8,7,9
intv_0046,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1025,9,7,8,8,6,8
intv_0046,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,951,4,8,8,7,6,7
intv_0046,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,968,8,8,8,9,6,9
intv_0047,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,973,9,8,8,10,9,9
intv_0047,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,957,9,8,8,9,8,8
intv_0047,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,975,9,8,9,8,7,8
intv_0048,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,982,9,8,8,8,8,9
intv_0048,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1094,8,7,7,7,6,6
intv_0048,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,959,6,7,8,8,6,8
intv_0049,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1085,4,8,6,9,9,9
intv_0049,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1122,6,5,6,8,5,8
intv_0049,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1037,9,6,8,8,5,8
intv_0050,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,974,8,7,7,7,6,6
intv_0050,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,856,9,9,8,8,8,8
intv_0050,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1056,8,9,9,8,8,8
